,Measure,DimensionName,ColumnName,LoadTime,isMeasureUsedInVisual,ReportName,PageName,VisualName,Query,hasDimension
0,CurrentDatePST,-,-,0.007290363312,1,Refresh Tracker,Read Me,card,SELECT [Measures].[CurrentDatePST] ON 0 FROM [Model],0
1,CurrentDatePST,-,-,0.007290363312,1,Refresh Tracker,Ingestion Pipeline Logs,card,SELECT [Measures].[CurrentDatePST] ON 0 FROM [Model],0
2,LastTimeRefresh(MAX) Ingestion(PST),-,-,0.008288383484,1,Refresh Tracker,Ingestion Pipeline Logs,tableEx,SELECT [Measures].[LastTimeRefresh(MAX) Ingestion(PST)] ON 0 FROM [Model],0
3,CurrentDatePST,-,-,0.009286403656,1,Refresh Tracker,Ingestion Pipeline Backup Logs,card,SELECT [Measures].[CurrentDatePST] ON 0 FROM [Model],0
4,CurrentDatePST,-,-,0.006818294525,1,Refresh Tracker,Summary Logs,card,SELECT [Measures].[CurrentDatePST] ON 0 FROM [Model],0
5,CurrentStatus(MAX),-,-,0.005783557892,1,Refresh Tracker,Summary Logs,tableEx,SELECT [Measures].[CurrentStatus(MAX)] ON 0 FROM [Model],0
6,CombineDate,-,-,0.006786346436,1,Refresh Tracker,Summary Logs,tableEx,SELECT [Measures].[CombineDate] ON 0 FROM [Model],0
7,CurrentDatePST,-,-,0.006786346436,1,Refresh Tracker,Pipeline Backup Logs,card,SELECT [Measures].[CurrentDatePST] ON 0 FROM [Model],0
8,ColorCode_BackupPipelineExecutionlogs,-,-,0.006786346436,1,Refresh Tracker,Pipeline Backup Logs,tableEx,SELECT [Measures].[ColorCode_BackupPipelineExecutionlogs] ON 0 FROM [Model],0
9,CurrentDatePST,-,-,0.008662223816,1,Refresh Tracker,Dataset Logs,card,SELECT [Measures].[CurrentDatePST] ON 0 FROM [Model],0
10,CurrentDuration,-,-,0.006190061569,1,Refresh Tracker,Dataset Logs,tableEx,SELECT [Measures].[CurrentDuration] ON 0 FROM [Model],0
11,Last Refresh Time Ingestion,-,-,0.007515192032,1,Refresh Tracker,Summary Detailed Logs,pivotTable,SELECT [Measures].[Last Refresh Time Ingestion] ON 0 FROM [Model],0
12,EndTime(MAX),-,-,0.008406877518,1,Refresh Tracker,Summary Detailed Logs,tableEx,SELECT [Measures].[EndTime(MAX)] ON 0 FROM [Model],0
13,CurrentDuration,-,-,0.009601116180,1,Refresh Tracker,Summary Detailed Logs,tableEx,SELECT [Measures].[CurrentDuration] ON 0 FROM [Model],0
14,StartTime(MAX),-,-,0.008171796799,1,Refresh Tracker,Summary Detailed Logs,tableEx,SELECT [Measures].[StartTime(MAX)] ON 0 FROM [Model],0
16,DateShow,-,-,0.011684656143,1,Refresh Tracker,Summary Detailed Logs,pivotTable,SELECT [Measures].[DateShow] ON 0 FROM [Model],0
17,CurrentDatePST,-,-,0.011684656143,1,Refresh Tracker,Pipeline Logs,card,SELECT [Measures].[CurrentDatePST] ON 0 FROM [Model],0
18,ColorCode_BackupPipelineExecutionlogs,-,-,0.007169008255,0,Refresh Tracker,-,-,,0
19,CurrentStatusLatest Ingestion,-,-,0.005247354507,0,Refresh Tracker,-,-,SELECT [Measures].[CurrentStatusLatest Ingestion] ON 0 FROM [Model],0
20,CurrentStatus Ingestion,-,-,0.004869699478,0,Refresh Tracker,-,-,SELECT [Measures].[CurrentStatus Ingestion] ON 0 FROM [Model],0
21,TodaysStatus,-,-,0.007543325424,0,Refresh Tracker,-,-,SELECT [Measures].[TodaysStatus] ON 0 FROM [Model],0
22,ColorCode_DatasetRefreshHistory,-,-,0.004869699478,0,Refresh Tracker,-,-,SELECT [Measures].[ColorCode_DatasetRefreshHistory] ON 0 FROM [Model],0
23,CurrentStatus,-,-,0.005044460297,0,Refresh Tracker,-,-,SELECT [Measures].[CurrentStatus] ON 0 FROM [Model],0
24,NextScheduleRefresh,-,-,0.012707710266,0,Refresh Tracker,-,-,SELECT [Measures].[NextScheduleRefresh] ON 0 FROM [Model],0
25,CombineStatus,-,-,0.012802600861,0,Refresh Tracker,-,-,SELECT [Measures].[CombineStatus] ON 0 FROM [Model],0
26,ColorCode_SummaryPage,-,-,0.007514476776,0,Refresh Tracker,-,-,SELECT [Measures].[ColorCode_SummaryPage] ON 0 FROM [Model],0
27,LastTimeRefresh(MAX) Ingestion,-,-,0.015343904495,0,Refresh Tracker,-,-,SELECT [Measures].[LastTimeRefresh(MAX) Ingestion] ON 0 FROM [Model],0
28,LastTimeRefresh(MAX),-,-,0.009735107422,0,Refresh Tracker,-,-,SELECT [Measures].[LastTimeRefresh(MAX)] ON 0 FROM [Model],0
29,ColorCode_BackupPipelinelogs,-,-,0.013369321823,0,Refresh Tracker,-,-,SELECT [Measures].[ColorCode_BackupPipelinelogs] ON 0 FROM [Model],0
30,NextScheduleRefreshIngestion,-,-,0.010893583298,0,Refresh Tracker,-,-,SELECT [Measures].[NextScheduleRefreshIngestion] ON 0 FROM [Model],0
31,MetaCurrentStatus(MAX),-,-,0.011355161667,0,Refresh Tracker,-,-,SELECT [Measures].[MetaCurrentStatus(MAX)] ON 0 FROM [Model],0
32,MetaCombineStatus,-,-,0.009499311447,0,Refresh Tracker,-,-,SELECT [Measures].[MetaCombineStatus] ON 0 FROM [Model],0
33,MetaCombineDate,-,-,0.007983922958,0,Refresh Tracker,-,-,SELECT [Measures].[MetaCombineDate] ON 0 FROM [Model],0
34,LastTimeRefresh(MAX) IN,-,-,0.010542154312,0,Refresh Tracker,-,-,SELECT [Measures].[LastTimeRefresh(MAX) IN] ON 0 FROM [Model],0
35,DateShow Ingestion,-,-,0.009885787964,0,Refresh Tracker,-,-,SELECT [Measures].[DateShow Ingestion] ON 0 FROM [Model],0
36,ColorCode_SummaryPage Ingestion Framework,-,-,0.006487131119,0,Refresh Tracker,-,-,SELECT [Measures].[ColorCode_SummaryPage Ingestion Framework] ON 0 FROM [Model],0
37,DateShow,Stream Name Dimension,StreamNameOrder,0.009025335312,0,Refresh Tracker,-,-,"SELECT {[Measures].[DateShow]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
38,CurrentStatus(MAX),Stream Name Dimension,StreamNameOrder,0.009773492813,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatus(MAX)]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
39,NextScheduleRefresh,Stream Name Dimension,StreamNameOrder,0.010594606400,0,Refresh Tracker,-,-,"SELECT {[Measures].[NextScheduleRefresh]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
40,CombineStatus,Stream Name Dimension,StreamNameOrder,0.010216474533,0,Refresh Tracker,-,-,"SELECT {[Measures].[CombineStatus]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
41,CombineDate,Stream Name Dimension,StreamNameOrder,0.011455535889,0,Refresh Tracker,-,-,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
42,ColorCode_SummaryPage,Stream Name Dimension,StreamNameOrder,0.008446455002,0,Refresh Tracker,-,-,"SELECT {[Measures].[ColorCode_SummaryPage]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
43,LastTimeRefresh(MAX),Stream Name Dimension,StreamNameOrder,0.013852119446,0,Refresh Tracker,-,-,"SELECT {[Measures].[LastTimeRefresh(MAX)]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
44,DateShow Ingestion,Stream Name Dimension,StreamNameOrder,0.009434700012,0,Refresh Tracker,-,-,"SELECT {[Measures].[DateShow Ingestion]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
45,Last Refresh Time Ingestion,Stream Name Dimension,StreamNameOrder,0.011068344116,0,Refresh Tracker,-,-,"SELECT {[Measures].[Last Refresh Time Ingestion]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
46,LastTimeRefresh(MAX) Ingestion(PST),Stream Name Dimension,StreamNameOrder,0.011542558670,0,Refresh Tracker,-,-,"SELECT {[Measures].[LastTimeRefresh(MAX) Ingestion(PST)]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
47,CombineStatus,Pipeline Execution Logs,StreamOrder,0.008799552917,0,Refresh Tracker,-,-,"SELECT {[Measures].[CombineStatus]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
48,CombineDate,Pipeline Execution Logs,StreamOrder,0.009804487228,0,Refresh Tracker,-,-,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
49,StartTime(MAX),Pipeline Execution Logs,StreamOrder,0.010487794876,0,Refresh Tracker,-,-,"SELECT {[Measures].[StartTime(MAX)]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
50,EndTime(MAX),Pipeline Execution Logs,StreamOrder,0.007720232010,0,Refresh Tracker,-,-,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
51,CurrentDuration,Pipeline Execution Logs,StreamOrder,0.004708290100,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
52,ColorCode_DatasetRefreshHistory,Pipeline Execution Logs,StreamOrder,0.016601085663,0,Refresh Tracker,-,-,"SELECT {[Measures].[ColorCode_DatasetRefreshHistory]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
53,CurrentStatus,Pipeline Execution Logs,StreamOrder,0.006053686142,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatus]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
54,MetaCombineDate,Pipeline Execution Logs,StreamOrder,0.011652469635,0,Refresh Tracker,-,-,"SELECT {[Measures].[MetaCombineDate]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
55,MetaCombineStatus,Pipeline Execution Logs,StreamOrder,0.009268283844,0,Refresh Tracker,-,-,"SELECT {[Measures].[MetaCombineStatus]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
56,CurrentStatus Ingestion,Pipeline Execution Logs,StreamOrder,0.010614871979,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatus Ingestion]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
57,CurrentStatusLatest Ingestion,Pipeline Execution Logs,StreamOrder,0.007872581482,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatusLatest Ingestion]} ON 0 ,NON EMPTY{[Pipeline Execution Logs].[StreamOrder].children} ON 1 FROM [Model]",1
58,CombineStatus,PipelineBackupLogs(Ingestion),StreamName,0.009803771973,0,Refresh Tracker,-,-,"SELECT {[Measures].[CombineStatus]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
59,CombineDate,PipelineBackupLogs(Ingestion),StreamName,0.013360023499,0,Refresh Tracker,-,-,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
60,StartTime(MAX),PipelineBackupLogs(Ingestion),StreamName,0.013972282410,0,Refresh Tracker,-,-,"SELECT {[Measures].[StartTime(MAX)]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
61,EndTime(MAX),PipelineBackupLogs(Ingestion),StreamName,0.005929708481,0,Refresh Tracker,-,-,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
62,CurrentDuration,PipelineBackupLogs(Ingestion),StreamName,0.008063077927,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
63,ColorCode_DatasetRefreshHistory,PipelineBackupLogs(Ingestion),StreamName,0.036111831665,0,Refresh Tracker,-,-,"SELECT {[Measures].[ColorCode_DatasetRefreshHistory]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
64,CurrentStatus,PipelineBackupLogs(Ingestion),StreamName,0.032764196396,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatus]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
65,MetaCombineDate,PipelineBackupLogs(Ingestion),StreamName,0.011292695999,0,Refresh Tracker,-,-,"SELECT {[Measures].[MetaCombineDate]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
66,MetaCombineStatus,PipelineBackupLogs(Ingestion),StreamName,0.008798122406,0,Refresh Tracker,-,-,"SELECT {[Measures].[MetaCombineStatus]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
67,CurrentStatus Ingestion,PipelineBackupLogs(Ingestion),StreamName,0.011517047882,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatus Ingestion]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
68,CurrentStatusLatest Ingestion,PipelineBackupLogs(Ingestion),StreamName,0.015206098557,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatusLatest Ingestion]} ON 0 ,NON EMPTY{[PipelineBackupLogs(Ingestion)].[StreamName].children} ON 1 FROM [Model]",1
69,CombineStatus,PipelineExecutionLogs(ingestion),Order,0.013811111450,0,Refresh Tracker,-,-,"SELECT {[Measures].[CombineStatus]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
70,CombineDate,PipelineExecutionLogs(ingestion),Order,0.011767387390,0,Refresh Tracker,-,-,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
71,StartTime(MAX),PipelineExecutionLogs(ingestion),Order,0.011899709702,0,Refresh Tracker,-,-,"SELECT {[Measures].[StartTime(MAX)]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
72,EndTime(MAX),PipelineExecutionLogs(ingestion),Order,0.012606382370,0,Refresh Tracker,-,-,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
73,CurrentDuration,PipelineExecutionLogs(ingestion),Order,0.016492605209,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
74,ColorCode_DatasetRefreshHistory,PipelineExecutionLogs(ingestion),Order,0.009022951126,0,Refresh Tracker,-,-,"SELECT {[Measures].[ColorCode_DatasetRefreshHistory]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
75,CurrentStatus,PipelineExecutionLogs(ingestion),Order,0.012426376343,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatus]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
76,MetaCombineDate,PipelineExecutionLogs(ingestion),Order,0.015890359879,0,Refresh Tracker,-,-,"SELECT {[Measures].[MetaCombineDate]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
77,MetaCombineStatus,PipelineExecutionLogs(ingestion),Order,0.020968437195,0,Refresh Tracker,-,-,"SELECT {[Measures].[MetaCombineStatus]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
79,CurrentStatusLatest Ingestion,PipelineExecutionLogs(ingestion),Order,0.010580539703,0,Refresh Tracker,-,-,"SELECT {[Measures].[CurrentStatusLatest Ingestion]} ON 0 ,NON EMPTY{[PipelineExecutionLogs(ingestion)].[Order].children} ON 1 FROM [Model]",1
82,LastTimeRefresh(MAX) Ingestion,Stream Name Dimension Ingestion,,0.015231370926,0,Refresh Tracker,-,-,,1
